Model,IMDb,Yelp,IMDb+Yelp
Logistic Regression,0.8266666666666667,0.7530589543937709,0.8097442116623461
LR+Tuning TF-IDF,0.8199919996444287,0.7664071190211346,0.8096425510124567
Naive Bayes,0.7999644381223329,0.7598292118840064,0.7997775305895439
LSTM,0.8266358463726885,0.7664071190211346,0.767830505052771
LSTM+pretrained embeddings,0.8529149581030486,0.806658073692164,0.8329695781925082
Transformer,0.8332666399893291,0.8176579172482104,0.8396507950648078
BERT+fine-tuning,0.8999955553580159,0.8332666399893291,0.8698249869268684
